location,iso_code,corruption_control,cpi,governament_effectiveness,healthcare_expenditure,number_of_arrivals,political_regime,trust_in_governance,government_type,wave,population,population_density,median_age,gdp_per_capita,new_cases,new_deaths,new_tests,icu_patients,new_vaccinations
Poland,POL,0.6421292,58,0.534801,2122.841,88515000.0,2,49.7986028419138,4,4,37797000.0,124.027,41.8,27216.445,968415.0,13700.0,6196780.0,0.0,4847729.0
Portugal,PRT,0.7784246,62,1.168682,3152.797,17174000.0,3,43.5605003837812,4,1,10167923.0,112.371,46.2,27936.896,42141.0,1576.0,1213259.0,12855.0,0.0
Portugal,PRT,0.7784246,62,1.168682,3152.797,17174000.0,3,43.5605003837812,4,2,10167923.0,112.371,46.2,27936.896,355666.0,5084.0,3605625.0,35457.0,27786.0
Portugal,PRT,0.7784246,62,1.168682,3152.797,17174000.0,3,43.5605003837812,4,3,10167923.0,112.371,46.2,27936.896,159041.0,4614.0,6027587.0,36225.0,8229541.0
Portugal,PRT,0.7784246,62,1.168682,3152.797,17174000.0,3,43.5605003837812,4,4,10167923.0,112.371,46.2,27936.896,162266.0,944.0,5731574.0,8029.0,2090740.0
Slovenia,SVN,0.9221385,60,1.081091,3060.734,4702000.0,3,39.7150714930083,2,1,2078723.0,102.619,44.5,31400.84,1600.0,111.0,103097.0,1368.0,0.0
Slovenia,SVN,0.9221385,60,1.081091,3060.734,4702000.0,3,39.7150714930083,2,2,2078723.0,102.619,44.5,31400.84,119269.0,2564.0,518257.0,13609.0,5290.0
Slovenia,SVN,0.9221385,60,1.081091,3060.734,4702000.0,3,39.7150714930083,2,3,2078723.0,102.619,44.5,31400.84,90862.0,916.0,544158.0,15675.0,1445166.0
Slovenia,SVN,0.9221385,60,1.081091,3060.734,4702000.0,3,39.7150714930083,2,4,2078723.0,102.619,44.5,31400.84,175149.0,986.0,546676.0,14213.0,812171.0
South Africa,ZAF,0.0729309,44,0.3676561,1103.532,14797000.0,2,49.5906319870362,6,1,60041996.0,46.754,27.3,12294.876,151209.0,2657.0,1618803.0,0.0,0.0
South Africa,ZAF,0.0729309,44,0.3676561,1103.532,14797000.0,2,49.5906319870362,6,2,60041996.0,46.754,27.3,12294.876,430120.0,14320.0,2797896.0,0.0,0.0
South Africa,ZAF,0.0729309,44,0.3676561,1103.532,14797000.0,2,49.5906319870362,6,3,60041996.0,46.754,27.3,12294.876,520211.0,16483.0,4854228.0,0.0,2545714.0
South Africa,ZAF,0.0729309,44,0.3676561,1103.532,14797000.0,2,49.5906319870362,6,4,60041996.0,46.754,27.3,12294.876,408397.0,7911.0,3511970.0,0.0,5979676.0
Spain,ESP,0.6989556,62,1.001175,3443.656,126170000.0,3,36.7785864601752,1,1,46745211.0,93.105,45.5,34272.36,249271.0,28355.0,0.0,0.0,0.0
Spain,ESP,0.6989556,62,1.001175,3443.656,126170000.0,3,36.7785864601752,1,2,46745211.0,93.105,45.5,34272.36,1465407.0,21743.0,0.0,171685.0,0.0
Spain,ESP,0.6989556,62,1.001175,3443.656,126170000.0,3,36.7785864601752,1,3,46745211.0,93.105,45.5,34272.36,1065841.0,22556.0,0.0,235197.0,28733874.0
Spain,ESP,0.6989556,62,1.001175,3443.656,126170000.0,3,36.7785864601752,1,4,46745211.0,93.105,45.5,34272.36,511063.0,4202.0,0.0,39244.0,8736543.0
Sweden,SWE,2.13129,85,1.709257,5456.547,7616000.0,3,51.3281754260437,1,1,10160159.0,24.718,41.0,46949.283,67924.0,5333.0,0.0,36174.0,0.0
Sweden,SWE,2.13129,85,1.709257,5456.547,7616000.0,3,51.3281754260437,1,2,10160159.0,24.718,41.0,46949.283,353000.0,2906.0,3553539.0,14619.0,0.0
Sweden,SWE,2.13129,85,1.709257,5456.547,7616000.0,3,51.3281754260437,1,3,10160159.0,24.718,41.0,46949.283,523033.0,3038.0,5513508.0,38594.0,0.0
